══════════════════════════════════════════════════════════════════════════════════════════
  DEC 2025 — 4-HOUR PEAK OUTCOMES (20 Pumper Coins)
══════════════════════════════════════════════════════════════════════════════════════════

Logs Processed:   1,860
Coin-Slots:       36,897
Average Peak:     2.55%
10%+ Winners:     1,337  (3.6%)
5%+  Winners:     4,727  (12.8%)
15%+ Winners:     581  (1.6%)
20%+ Winners:     251  (0.7%)
Errors:           303

──────────────────────────────────────────────────────────────────────────────────────────
  DETAILED RESULTS — Every Log File
──────────────────────────────────────────────────────────────────────────────────────────

=== 2025-12-01  7:00 ET  (UTC 1764590400)  ===
  ELA        Entry $1.2600         → Peak $1.2590          -0.08%  DD:-3.97%

=== 2025-12-01  7:55 ET  (UTC 1764593700)  ===
  OMNI       Entry $1.1310         → Peak $1.2030          +6.37%  DD:-3.18% ●5%+
  ZEC        Entry $346.95         → Peak $366.13          +5.53%  DD:-6% ●5%+
  KTA        Entry $0.242400       → Peak $0.254200        +4.87%  DD:-9.24%
  ZEN        Entry $9.5220         → Peak $9.8510          +3.46%  DD:-1.91%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-3.16%
  BNKR       Entry $0.00022820     → Peak $0.00023520      +3.07%  DD:-7.62%
  EDGE       Entry $0.141030       → Peak $0.145050        +2.85%  DD:-1.07%
  DASH       Entry $48.2200        → Peak $49.5700         +2.8%  DD:-2.45%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  MAMO       Entry $0.024070       → Peak $0.024530        +1.91%  DD:-4.28%
  SQD        Entry $0.056600       → Peak $0.057400        +1.41%  DD:-3.36%
  FLOCK      Entry $0.122000       → Peak $0.123500        +1.23%  DD:-2.38%
  NEON       Entry $0.066640       → Peak $0.067400        +1.14%  DD:-5.46%
  PUMP       Entry $0.00264300     → Peak $0.00266300      +0.76%  DD:-2.91%
  SAPIEN     Entry $0.113060       → Peak $0.113800        +0.65%  DD:-2.23%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  XCN        Entry $0.00517000     → Peak $0.00519000      +0.39%  DD:-5.61%
  CLANKER    Entry $43.7500        → Peak $43.8400         +0.21%  DD:-5.92%
  ELA        Entry $1.2600         → Peak $1.2590          -0.08%  DD:-3.97%
  FIS        Entry $0.041400       → Peak $0.041100        -0.72%  DD:-4.83%

=== 2025-12-01  8:00 ET  (UTC 1764594000)  ===
  OMNI       Entry $1.1350         → Peak $1.2030          +5.99%  DD:-3.52% ●5%+
  ZEC        Entry $348.05         → Peak $366.13          +5.19%  DD:-6.3% ●5%+
  KTA        Entry $0.245000       → Peak $0.254200        +3.76%  DD:-10.2%
  ZEN        Entry $9.5060         → Peak $9.8510          +3.63%  DD:-1.75%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-3.16%
  DASH       Entry $48.1900        → Peak $49.5700         +2.86%  DD:-2.39%
  EDGE       Entry $0.141030       → Peak $0.145050        +2.85%  DD:-1.07%
  BNKR       Entry $0.00022930     → Peak $0.00023520      +2.57%  DD:-8.07%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  MAMO       Entry $0.024230       → Peak $0.024530        +1.24%  DD:-4.91%
  NEON       Entry $0.066640       → Peak $0.067400        +1.14%  DD:-5.46%
  SQD        Entry $0.056900       → Peak $0.057400        +0.88%  DD:-3.87%
  FLOCK      Entry $0.122600       → Peak $0.123500        +0.73%  DD:-2.85%
  XCN        Entry $0.00516000     → Peak $0.00519000      +0.58%  DD:-5.43%
  CLANKER    Entry $43.6000        → Peak $43.8400         +0.55%  DD:-5.6%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  PUMP       Entry $0.00264400     → Peak $0.00265300      +0.34%  DD:-2.95%
  SAPIEN     Entry $0.113650       → Peak $0.113800        +0.13%  DD:-2.74%
  ELA        Entry $1.2600         → Peak $1.2590          -0.08%  DD:-3.97%
  FIS        Entry $0.041400       → Peak $0.041100        -0.72%  DD:-4.83%

=== 2025-12-01  8:05 ET  (UTC 1764594300)  ===
  ZEC        Entry $342.09         → Peak $366.13          +7.03%  DD:-4.66% ●5%+
  OMNI       Entry $1.1350         → Peak $1.2030          +5.99%  DD:-3.52% ●5%+
  KTA        Entry $0.243400       → Peak $0.254200        +4.44%  DD:-9.61%
  ZEN        Entry $9.4770         → Peak $9.8510          +3.95%  DD:-1.45%
  BNKR       Entry $0.00022740     → Peak $0.00023520      +3.43%  DD:-7.3%
  DASH       Entry $47.9300        → Peak $49.5700         +3.42%  DD:-1.86%
  HONEY      Entry $0.00950000     → Peak $0.00980000      +3.16%  DD:-3.16%
  EDGE       Entry $0.142410       → Peak $0.145050        +1.85%  DD:-2.03%
  NEON       Entry $0.066180       → Peak $0.067400        +1.84%  DD:-4.81%
  STRK       Entry $0.118000       → Peak $0.120000        +1.69%  DD:-2.54%
  MAMO       Entry $0.024230       → Peak $0.024530        +1.24%  DD:-4.91%
  SQD        Entry $0.056700       → Peak $0.057400        +1.23%  DD:-3.53%
  FLOCK      Entry $0.122200       → Peak $0.123500        +1.06%  DD:-2.54%
  PUMP       Entry $0.00263300     → Peak $0.00265200      +0.72%  DD:-2.54%
  SAPIEN     Entry $0.113050       → Peak $0.113760        +0.63%  DD:-2.22%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  XCN        Entry $0.00517000     → Peak $0.00518000      +0.19%  DD:-5.61%
  CLANKER    Entry $43.6000        → Peak $43.6100         +0.02%  DD:-5.6%
  ELA        Entry $1.2600         → Peak $1.2590          -0.08%  DD:-3.97%
  FIS        Entry $0.041400       → Peak $0.041100        -0.72%  DD:-4.83%

=== 2025-12-01  8:10 ET  (UTC 1764594600)  ===
  ZEC        Entry $341.49         → Peak $366.13          +7.22%  DD:-4.5% ●5%+
  OMNI       Entry $1.1350         → Peak $1.2030          +5.99%  DD:-3.52% ●5%+
  ZEN        Entry $9.4590         → Peak $9.8510          +4.14%  DD:-1.26%
  DASH       Entry $47.9900        → Peak $49.5700         +3.29%  DD:-1.98%
  BNKR       Entry $0.00022800     → Peak $0.00023520      +3.16%  DD:-7.54%
  KTA        Entry $0.247700       → Peak $0.254200        +2.62%  DD:-11.18%
  STRK       Entry $0.117000       → Peak $0.120000        +2.56%  DD:-1.71%
  HONEY      Entry $0.00960000     → Peak $0.00980000      +2.08%  DD:-4.17%
  EDGE       Entry $0.142410       → Peak $0.145050        +1.85%  DD:-2.03%
  MAMO       Entry $0.024230       → Peak $0.024530        +1.24%  DD:-4.91%
  SQD        Entry $0.056700       → Peak $0.057400        +1.23%  DD:-3.7%
  SAPIEN     Entry $0.112550       → Peak $0.113760        +1.08%  DD:-1.93%
  FLOCK      Entry $0.122500       → Peak $0.123500        +0.82%  DD:-2.78%
  NEON       Entry $0.067090       → Peak $0.067400        +0.46%  DD:-6.1%
  PRCL       Entry $0.025400       → Peak $0.025500        +0.39%  DD:-2.76%
  CLANKER    Entry $43.4100        → Peak $43.5400         +0.3%  DD:-5.18%
  XCN        Entry $0.00517000     → Peak $0.00518000      +0.19%  DD:-5.61%
  PUMP       Entry $0.00265200     → Peak $0.00265200      +0%  DD:-3.24%
